id,kod,ad,tip
76895,KIMMR,ERSAN GIDA,Hisse
2588,KLGYO,Kiler Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
74863,KLKIM,KALEKİM TİC. A.Ş.,Hisse
313,KLMSN,Klimasan Klima Sanayi Ve Ticaret A.Ş.,Hisse
529,KLNMA,T.Kalkınma Bankası A.Ş.,Hisse
83112,KLRHO,KİLER HOLDİNG,Hisse
80032,KLSYN,KOLEKSİYON MOBİLYA,Hisse
78416,KMPUR,KİMTEKS POLİÜRETAN,Hisse
314,KNFRT,Konfrut Gıda Sanayi Ve Ticaret A.Ş.,Hisse
77742,KONKA,KONYA KAĞIT,Hisse
71892,KONTR,KONTROLMATİK  TEKNOLOJİ,Hisse
316,KONYA,Konya Çimento Sanayii A.Ş.,Hisse
317,KORDS,Kordsa Global Endüstriyel İplik ve Kord Bezi San. ,Hisse
319,KOZAA,Koza Anadolu Metal Madencilik İşletmeleri A.Ş.,Hisse
2177,KOZAL,Koza Altın İşletmeleri A.Ş.,Hisse
320,KRDMA,Kardemir Karabük Demir Çelik Sanayi Ve Ticaret A.Ş,Hisse
321,KRDMB,Kardemir Karabük Demir Çelik Sanayi Ve Ticaret A.Ş,Hisse
322,KRDMD,Kardemir Karabük Demir Çelik Sanayi Ve Ticaret A.Ş,Hisse
8993,KRGYO,Körfez Gayrimenkul Yatırım Ortaklığı  A.Ş.,Hisse
2649,KRONT,Kron Telekomünikasyon Hizmetleri A.Ş.,Hisse
83175,KRPLS,KOROPLAST,Hisse
323,KRSTL,Krıstal Kola Ve Meşrubat Sanayi Ticaret A.Ş.,Hisse
324,KRTEK,Karsu Tekstil Sanayii Ve Ticaret A.Ş.,Hisse
72521,KRVGD,KERVAN GIDA,Hisse
4209,KSTUR,Kuştur Kuşadası Turizm Endüstrisi A.Ş.,Hisse
75684,KTSKR,KÜTAHYA ŞEKER,Hisse
75614,KTSKRHE,KUTAHYA SEKER,Hisse
327,KUTPO,Kutahya Porselen Sanayii A.Ş.,Hisse
84896,KUVVA,KUVVA GIDA,Hisse
4086,KUYAS,Kuyumcukent Gayrimenkul Yatırımları A.Ş.,Hisse
75933,KZBGY,KIZILBÜK GYO,Hisse
80411,LIDER,LDR TURİZM,Hisse
9006,LIDFA,Lider Faktoring A.Ş.,Hisse
329,LINK,Link Bilgisayar Sistemleri Yazılımı ve Donanımı Sa,Hisse
2484,LKMNH,Lokman Hekim Engürüsağ Sağlık Turizm Eğitim Hizmet,Hisse
331,LOGO,Logo Yazılım Sanayi Ve Ticaret A.Ş.,Hisse
333,LUKSK,Lüks Kadife Ticaret Ve Sanayii A.Ş.,Hisse
334,MAALT,Marmaris Altınyunus Turistik Tesisler A.Ş.,Hisse
77516,MAGEN,MARGÜN ENERJİ,Hisse
82941,MAKIM,MAKİM MAKİNA,Hisse
335,MAKTK,Makina Takım Endüstrisi A.Ş.,Hisse
75683,MANAS,MANAS ENERJİ,Hisse
1118,MARKA,Marka Yatırım Holding Anonim Şirketi,Hisse
350,MARTI,Martı Otel İşletmeleri A.Ş.,Hisse
9555,MAVI,Mavi Giyim Sanayi Ve Ticaret A.Ş.,Hisse
75679,MEDTR,MEDİTERA TIBBİ MALZEME,Hisse
3832,MEGAP,Mega Polietilen Köpük Sanayi ve Ticaret A.Ş.,Hisse
338,MEMSA,Mensa Sınai Ticari Mali Yatırımlar A.Ş.,Hisse
2822,MEPET,Mepet Metro Petrol ve Tesisleri Sanayi ve Ticaret ,Hisse
74865,MERCN,MERCAN KİMYA,Hisse
3978,MERIT,Merit Turizm Yatırım ve İşletme A.Ş.,Hisse
339,MERKO,Merko Gıda Sanayi Ve Ticaret A.Ş.,Hisse
575,METRO,Metro Ticari ve Mali Yatırımlar Holding A. Ş.,Hisse
341,METUR,Metemtur Otelcilik Ve Turizm İşletmeleri A.Ş.,Hisse
346,MGROS,Migros T.A.Ş.,Hisse
77743,MIATK,MİA TEKNOLOJİ,Hisse
349,MIPAZ,Milpa Ticari Ve Sınai Ürünler Paz.San. Ve Tic.A.Ş.,Hisse
3083,MMCAS,MMC Sanayi Ve Ticari Yatırımlar A.Ş.,Hisse
351,MNDRS,Menderes Tekstil Sanayi Ve Ticaret A.Ş.,Hisse
87016,MNDTR,MONDI TURKEY,Hisse
77744,MOBTL,MOBİLTEL İLETİŞİM,Hisse
2990,MPARK,MLP Sağlık Hizmetleri A.Ş.,Hisse
2297,MRGYO,Martı Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
354,MRSHL,Marshall Boya Ve Vernik Sanayii A.Ş.,Hisse
9538,MSGYO,Mistral Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
73922,MTRKS,MATRİKS VERİ DAĞITIM,Hisse
73920,MTRKSHE,MATRİKS VERİ DAĞITIM,Hisse
57031,MTRYO,METRO YATIRIM A.Ş.,Hisse
363,MZHLD,Mazhar Zorlu Holding A.Ş.,Hisse
66055,NATEN,NATUREL ENERJİ TİC. A.Ş.,Hisse
379,NETAS,Nortel Networks Netaş Telekomünikasyon A.Ş.,Hisse
3628,NIBAS,Niğbaş Niğde Beton Sanayi ve Ticaret A.Ş.,Hisse
73924,NTGAZ,NATURELGAZ,Hisse
386,NTHOL,Net Holding A.Ş.,Hisse
388,NUGYO,Nurol Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
389,NUHCM,Nuh Çimento Sanayi A.Ş.,Hisse
83908,OBASE,OBASE BİLGİSAYAR,Hisse
6863,ODAS,Odaş Elektrik Üretim San. ve Tic. A.Ş.,Hisse
75677,OLMK,MONDİ OLMUKSAN KAĞIT VE AMBALAJ SANAYİ A.Ş,Hisse
87994,ONCSM,ONCOSEM ONKOLOJİK SİSTEMLER,Hisse
76385,ORCAY,ORTAKÖY ÇAY,Hisse
3828,ORGE,Orge Enerji Elektrik Taahhüt A.Ş.,Hisse
4248,ORMA,Orma Orman Mahsülleri İntegre Sanayi ve Ticaret A.,Hisse
3624,OSMEN,Osmanlı Yatırım Menkul Değerler A.Ş.,Hisse
3822,OSTIM,Ostim Endüstriyel Yatırımlar Ve İşletme A.Ş.,Hisse
398,OTKAR,Otokar Otomotiv ve Savunma Sanayi A.Ş.,Hisse
78910,OTTO,OTTO HOLDING,Hisse
70518,OYAKC,OYAK ÇİMENTO,Hisse
1542,OYAYO,Oyak Yatırım Ortaklığı A.Ş.,Hisse
3815,OYLUM,Oylum Sınai Yatırımlar A.Ş.,Hisse
75351,OYYAT,OYAK YATIRIM MENKUL DEĞ. A.Ş.,Hisse
400,OZGYO,Özderici Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
3613,OZKGY,Özak Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
9101,OZRDN,Özerden Plastik Sanayi Ve Ticaret Anonim Şirketi,Hisse
87315,OZSUB,ÖZSU BALIK ÜRETİM,Hisse
6952,PAGYO,Panora Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
72294,PAMEL,PAMUKOVA YENİLENEBİLİR ELEKTRİK ÜRETİM A.Ş,Hisse
69040,PAPIL,PAPİLON SAVUNMA,Hisse
430,PARSN,Parsan Makina Parçaları Sanayii A.Ş.,Hisse
78006,PCILT,PC İletişim ve Medya Hizmetleri,Hisse
224,PEGYO,Pera Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
2991,PEKGY,Peker Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
433,PENGD,Penguen Gıda Sanayi A.Ş.,Hisse
74864,PENTA,PENTA TEKNOLOJİ ÜRÜNLERİ,Hisse
435,PETKM,Petkim Petrokimya Holding A.Ş.,Hisse
436,PETUN,Pınar Entegre Et Ve Un Sanayii A.Ş.,Hisse
6507,PGSUS,Pegasus Hava Taşımacılığı A.Ş.,Hisse
438,PINSU,Pınar Su Sanayi Ve Ticaret A.Ş.,Hisse
960,PKART,Plastikkart Akıllı Kart İletişim Sistemleri Sanayi,Hisse
439,PKENT,Petrokent Turizm A.Ş.,Hisse
87370,PLTUR,PALTFORM TURİZM,Hisse
79538,PNLSN,PANELSAN,Hisse
444,PNSUT,Pınar Süt Mamülleri Sanayii A.Ş.,Hisse
3841,POLHO,Polisan Holding A.Ş.,Hisse
8273,POLTK,Politeknik Metal Sanayi ve Ticaret A.Ş.,Hisse
82940,PRDGS,PARDUS GIRISIM,Hisse
448,PRKAB,Türk Prysmian Kablo ve Sistemleri A.Ş.,Hisse
449,PRKME,Park Elektrik Üretim Madencilik Sanayi ve Ticaret ,Hisse
3829,PRZMA,Prizma Pres Matbaacılık Yayıncılık Sanayi ve Ticar,Hisse
9079,PSDTC,Pergamon Status Dış Ticaret A.Ş.,Hisse
78197,PSGYO,PASİFİK GMYO,Hisse
200,QNBFB,QNB Finansbank Anonim Şirketi,Hisse
56402,QNBFL,QNB FINANS FİNANSAL KİRALAMA A.Ş,Hisse
74204,QUAGR,QUA GRANİTE,Hisse
73923,QUAGRHE,QUA GRANİTE,Hisse
55790,RALYH,RAL YATIRIM HOLDING,Hisse
456,RAYSG,Ray Sigorta A.Ş.,Hisse
579,RHEAG,Rhea Girişim Sermayesi Yatırım Ortaklığı A.Ş.,Hisse
78007,RNPOL,RAİNBOW POLİKARBONAT,Hisse
7986,RODRG,Rodrigo Tekstil Sanayi Ve Ticaret Anonim Şirketi,Hisse
6714,ROYAL,Royal Halı İplik Tekstil Mobilya San. ve Tic. A.Ş.,Hisse
9000,RTALB,RTA Laboratuvarları Biy. Ürünler İlaç ve Makine Sa,Hisse
83111,RUBNS,RUBENİS TEKSTİL,Hisse
2230,RYGYO,Reysaş Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
1273,RYSAS,Reysaş Taşımacılık ve Lojistik Ticaret A.Ş.,Hisse
11,SAFKR,Safkar Ege Soğutmacılık Klima Soğuk Hava Tesisleri,Hisse
463,SAHOL,Hacı Ömer Sabancı Holding A.Ş.,Hisse
2757,SAMAT,Saray Matbaacılık Kağıtçılık Kırtasiyecilik Ticare,Hisse
8082,SANEL,San-El Mühendislik Elektrik Taahhüt Sanayi ve Tica,Hisse
3806,SANFM,Sanifoam Sünger Sanayi ve Ticaret Anonim Şirketi,Hisse
464,SANKO,Sanko Pazarlama İthalat İhracat Anonim Şirketi,Hisse
465,SARKY,Sarkuysan Elektrolitik Bakır Sanayi Ve Ticaret A.Ş,Hisse
467,SASA,Sasa Polyester Sanayi A.Ş.,Hisse
7464,SAYAS,Say Reklamcılık Yapı Dekorasyon Proje Taahhüt Sana,Hisse
87995,SDTTR,UZAY VE SAVUNMA,Hisse
82312,SEGYO,ŞEKER GYO,Hisse
936,SEKFK,Şeker Finansal Kiralama A.Ş.,Hisse
8064,SEKUR,Sekuro Plastik Ambalaj Sanayi A.Ş.,Hisse
1328,SELEC,Selçuk Ecza Deposu Ticaret ve Sanayi A.Ş.,Hisse
478,SELGD,Selçuk Gıda Endüstri İhracat İthalat A.Ş.,Hisse
75352,SELVA,SELVA GIDA,Hisse
479,SERVE,Serve Kırtasiye Sanayi Ve Ticaret A.Ş.,Hisse
9221,SEYKM,Seyitler Kimya Sanayi Anonim Şirketi,Hisse
1360,SILVR,Silverline Endüstri ve Ticaret A.Ş.,Hisse
492,SISE,T.Şişe Ve Cam Fabrikaları A.Ş.,Hisse
495,SKBNK,Şekerbank T.A.Ş.,Hisse
498,SKTAS,Söktaş Tekstil Sanayi ve Ticaret A.Ş.,Hisse
64402,SMART,SMARTIKS YAZILIM,Hisse
80192,SMRTG,SMART ENERJİ,Hisse
1557,SNGYO,Sinpaş Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
87313,SNICA,SANİCA ISI SAN A.Ş.,Hisse
9104,SNKRN,Senkron Güvenlik ve İletişim Sistemleri Anonim Şir,Hisse
503,SNPAM,Sönmez Pamuklu Sanayii A.Ş.,Hisse
3904,SODSN,Sodaş Sodyum Sanayii A.Ş.,Hisse
87996,SOKE,SÖKE DEĞİRMENCİLİK,Hisse
56588,SOKM,ŞOK MARKETLERİ,Hisse
505,SONME,Sönmez Filament Sentetik İplik Ve Elyaf Sanayi A.Ş,Hisse
6500,SRVGY,Servet Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
2989,SUMAS,Sumaş Suni Tahta ve Mobilya Sanayi A.Ş.,Hisse
81542,SUNTK,SUN TEKSTİL,Hisse
80864,SUWEN,SUWEN TEKSTİL,Hisse
6965,TACTR,Taç Tarım Ürünleri Hayvancılık Gıda Sanayi ve Tica,Hisse
517,TATGD,Tat Gıda Sanayi A.Ş.,Hisse
1518,TAVHL,TAV Havalimanları Holding A.Ş.,Hisse
518,TBORG,T.Tuborg Bira Ve Malt Sanayii A.Ş.,Hisse
519,TCELL,Turkcell İletişim Hizmetleri A.Ş.,Hisse
2992,TDGYO,TREND GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Hisse
526,TEKTU,Tek-Art İnşaat Ticaret Turizm Sanayi ve Yatırımlar,Hisse
87992,TERA,TERA YATIRIM,Hisse
77515,TETMT,TETAMAT GIDA YATIRIMLARI,Hisse
76450,TEZOL,EUROPAP TEZOL KAĞIT,Hisse
3907,TGSAS,TGS Dış Ticaret A.Ş.,Hisse
527,THYAO,Türk Hava Yolları A.O.,Hisse
528,TIRE,Mondi Tire Kutsan Kağıt Ve Ambalaj Sanayi A.Ş.,Hisse
1638,TKFEN,Tekfen Holding A.Ş.,Hisse
3831,TKNSA,Teknosa İç ve Dış Ticaret A.Ş.,Hisse
2985,TLMAN,Trabzon Liman İşletmeciliği A.Ş.,Hisse
8195,TMPOL,Temapol Polimer Plastik ve İnşaat Sanayi Ticaret A,Hisse
4373,TMSN,Tümosan Motor ve Traktör Sanayi A.Ş.,Hisse
535,TOASO,Tofaş Türk Otomobil Fabrikası A.Ş.,Hisse
539,TRCAS,Turcas Petrol A.Ş.,Hisse
2304,TRGYO,Torunlar Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
73491,TRILC,TÜRK İLAÇ VE SERUM SANAYİ A.Ş.,Hisse
2195,TSGYO,TSKB Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
551,TSKB,Türkiye Sınai Kalkınma Bankası A.Ş.,Hisse
1108,TSPOR,Trabzonspor Sportif Yatırım ve Futbol İşletmeciliğ,Hisse
1772,TTKOM,Türk Telekomünikasyon A.Ş.,Hisse
903,TTRAK,Türk Traktör ve Ziraat Makineleri A.Ş.,Hisse
9005,TUCLK,Tuğçelik Alüminyum ve Metal Mamülleri San. ve Tic.,Hisse
554,TUKAS,Tukaş Gıda Sanayi ve Ticaret A.Ş.,Hisse
555,TUPRS,"Tüpraş, Türkiye Petrol Rafinerileri A.Ş.",Hisse
73971,TUREX,TUREX TURİZM,Hisse
73921,TUREXHE,TUREX TURİZM,Hisse
7730,TURGG,Türker Proje Gayrimenkul ve Yatırım Geliştirme A.Ş,Hisse
71277,TURSG,TÜRKİYE SİGORTA A.Ş.,Hisse
1487,UFUK,Ufuk Yatırım Yönetim Ve Gayrimenkul A.Ş.,Hisse
4041,ULAS,Ulaşlar Turizm Yatırımları ve Dayanıklı Tüketim Ma,Hisse
716,ULKER,Ülker Bisküvi Sanayi A.Ş.,Hisse
77522,ULUFA,ULUSAL FAKTORİNG,Hisse
9083,ULUSE,Ulusoy Elektrik İmalat Taahhüt Ticaret A.Ş.,Hisse
9082,ULUUN,Ulusoy Un Sanayi ve Ticaret Anonim Şirketi,Hisse
9089,UMPAS,Umpaş Holding A.Ş.,Hisse
75180,UNLU,ÜNLÜ YATIRIM,Hisse
563,USAK,Uşak Seramik Sanayii A.Ş.,Hisse
76196,USDTR,A.B.D Hazine Bonosu Dolar B Tipi BYF,Hisse
3811,USDTRF,Dolar B Tipi BYF,Hisse
3976,UZERB,Uzertaş Boya Sanayi Ticaret ve Yatırım A.Ş.,Hisse
1241,VAKBN,Türkiye Vakıflar Bankası T.A.O.,Hisse
573,VAKFN,Vakıf Finansal Kiralama A.Ş.,Hisse
574,VAKKO,Vakko Tekstil Ve Hazır Giyim Sanayi İşletmeleri A.,Hisse
2877,VANGD,Vanet Gıda Sanayi İç ve Dış Ticaret A.Ş.,Hisse
75678,VBTYZ,VBT YAZILIM,Hisse
9258,VERTU,Verusatürk Girişim Sermayesi Yatırım Ortaklığı A.Ş,Hisse
8073,VERUS,Verusa Holding A.Ş.,Hisse
1326,VESBE,Vestel Beyaz Eşya Sanayi ve Ticaret A.Ş.,Hisse
578,VESTL,Vestel Elektronik Sanayi Ve Ticaret A.Ş.,Hisse
580,VKFYO,Vakıf Menkul Kıymet Yatırım Ortaklığı A. Ş.,Hisse
581,VKGYO,Vakıf Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
582,VKING,Viking Kağıt Ve Selüloz A.Ş.,Hisse
2620,YAPRK,Yaprak Süt ve Besi Çiftlikleri Sanayi ve Ticaret A,Hisse
612,YATAS,Yataş Yatak Ve Yorgan San.Tic.A.Ş.,Hisse
8074,YAYLA,Yayla Enerji Üretim Turizm ve İnşaat Ticaret A.Ş.,Hisse
4044,YBTAS,Yibitaş Yozgat İşçi Birliği İnşaat Malzemeleri Tic,Hisse
76384,YEOTK,YEO TEKNOLOJİ ENERJİ,Hisse
721,YESIL,Yeşil Yatırım Holding A.Ş.,Hisse
7988,YGGYO,Yeni Gimat Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
260,YGYO,Yeşil Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
616,YKBNK,Yapı Ve Kredi Bankası A.Ş.,Hisse
68648,YKSLN,YÜKSELEN ÇELİK A.Ş.,Hisse
4031,YONGA,Yonga Mobilya Sanayi Ticaret A.Ş.,Hisse
622,YUNSA,Yünsa Yünlü Sanayi Ve Ticaret A.Ş.,Hisse
84,YYAPI,Yeşil Yapı Endustrisi A.Ş.,Hisse
81541,YYLGD,YAYLA AGRO GIDA,Hisse
78727,Z30EA,ZIRAAT PORTFOY BIST30 EA ENDEKSI HSY BYF,Hisse
73300,Z30KE,Ziraat Portföy Katılınm  30 Eşit Ağırlıklı Endeksi,Hisse
73299,Z30KP,Ziraat Portföy Katılım 30 Endeksi,Hisse
85472,ZEDUR,ZEDUR ENERJI,Hisse
76195,ZELOT,ZP BIST 50-30 ENDEKSİ HİSSE SENEDİ YOĞUN  BYF,Hisse
70521,ZGOLD,ZIRAAT PORTFOY ALTIN BYF,Hisse
70520,ZGOLDF,ZIRAAT PORTFOY ALTIN BYF,Hisse
635,ZOREN,Zorlu Enerji Elektrik Üretim A.Ş.,Hisse
70524,ZPBDL,ZIRAAT PORTFOY BIST BANKA DISI LIKIT,Hisse
70523,ZPLIB,ZIRAAT PORTFOY BIST LIKIT BANKA HY BYF,Hisse
78730,ZPT10,ZIRAAT PORTFOY YP TEKNOLOJI ILETISIM 10 HY BYF,Hisse
70522,ZPX30,ZIRAAT PORTFOY BIST 30 HY BYF,Hisse
78729,ZRE20,ZIRAAT PORTFOY RISK ESIT BD20 ENDEKSI HSY BYF,Hisse
74480,ZRGYO,Ziraat Gayrimenkul Yatırım Ortaklığı A.Ş,Hisse
78728,ZTM15,ZIRAAT PORTFOY YP LIKIT TEMETTU ENDEKS HSY BYF,Hisse
